"id","label","openatlasClass","systemClass","type","role","placeId"
"actor-leopold-legg","Leopold G. Wickham Legg","E21 Person","actor","editor","editor of English Coronation Records",""
"actor-english-coronation-tradition","English coronation tradition","E74 Group","actor","institution","ritual and documentary tradition","place-westminster-abbey"
"actor-westminster-abbey","Westminster Abbey","E74 Group","actor","institution","coronation church / institutional context","place-westminster-abbey"
"actor-columba","St Columba","E21 Person","actor","person","saint / consecrating figure",""
"actor-ethelred-ii","Æthelred II","E21 Person","actor","person","royal attribution / recension label",""
"actor-harold-ii","Harold II","E21 Person","actor","person","possible coronation context",""
"actor-william-conqueror","William the Conqueror","E21 Person","actor","person","royal coronation context",""
"actor-john","King John","E21 Person","actor","person","royal coronation context",""
"actor-bnf","Bibliothèque nationale de France (BnF)","E74 Group","actor","institution","repository institution / digital provider","repo-paris-bnf"
