"subject","predicate","object","certainty","source"
"ECR-XX","belongs_to_tradition","tradition-english","certain","ECR pilot"
"ECR-XX","edited_by","actor-leopold-legg","certain","ECR pilot"
"ECR-XX","has_reference","ref-legg-1901","certain","ECR pilot"
"ECR-XX","documents_event","event-ecr-xx-record-context","probable","ECR pilot"
"ECR-XX","associated_with","actor-english-coronation-tradition","certain","ECR pilot"
"ECR-XX","associated_with","actor-westminster-abbey","certain","ECR pilot"
"ECR-XX","associated_with","actor-john","probable","ECR pilot"
"ECR-XX","associated_with","actor-richard-ii","probable","ECR pilot"
"ECR-XX","associated_with","actor-henry-vi","probable","ECR pilot"
"ECR-XX","associated_with","actor-richard-iii","probable","ECR pilot"
"ECR-XX","associated_with","actor-henry-vii","probable","ECR pilot"
"ECR-XX","associated_with","actor-elizabeth-i","probable","ECR pilot"
"ECR-XX","associated_with","actor-canterbury","certain","ECR pilot"
"ECR-XX","associated_with","actor-york","certain","ECR pilot"
"ECR-XX","preserved_in","ms-ecr-xx-src","certain","ECR pilot"
"ms-ecr-xx-src","has_event","event-ms-ecr-xx-src-source","certain","ECR pilot"
"ms-ecr-xx-src","located_at","repo-london-british-library","certain","ECR pilot"
"ms-ecr-xx-src","has_reference","ref-legg-1901","certain","ECR pilot"
"ms-ecr-xx-src","associated_with","actor-english-coronation-tradition","certain","ECR pilot"
"ms-ecr-xx-src","associated_with","actor-british-library","probable","ECR pilot"
