"id","label","lat","lon","type","openatlasClass","description"
"place-mainz-context","Mainz? textual-context anchor","50","8.2711","origin_context","E53 Place","Elze gives Mainz? before 960 as contextual dateline."
"place-augsburg-context","Augsburg origin context","48.3705","10.8978","origin_context","E53 Place","Origin context for Munich, BSB, Clm 3917."
"repo-munich-bsb","Munich, Bayerische Staatsbibliothek","48.1486","11.5802","repository_place","E53 Place",""
"repo-vatican-bav","Vatican City, Biblioteca Apostolica Vaticana","41.904","12.4545","repository_place","E53 Place",""
"repo-pistoia-capitular","Pistoia, Biblioteca Capitolare","43.9333","10.9167","repository_place","E53 Place",""
"repo-eichstaett","Eichstätt, Diocesan/University Library context","48.8912","11.1839","repository_place","E53 Place",""
"repo-wolfenbuettel-hab","Wolfenbüttel, Herzog August Bibliothek","52.1638","10.5297","repository_place","E53 Place",""
"repo-cambridge-corpus","Cambridge, Corpus Christi College","52.2053","0.1192","repository_place","E53 Place",""
"repo-bamberg-staatsbibliothek","Bamberg, Staatsbibliothek","49.8917","10.886","repository_place","E53 Place",""
"repo-schaffhausen","Schaffhausen, Stadtbibliothek","47.6965","8.6339","repository_place","E53 Place",""
"repo-troyes-bm","Troyes, Bibliothèque municipale","48.2973","4.0744","repository_place","E53 Place",""
"repo-montecassino","Montecassino, Archivio dell’Abbazia","41.4905","13.8138","repository_place","E53 Place",""
"repo-rome-vallicelliana","Rome, Biblioteca Vallicelliana","41.8986","12.4698","repository_place","E53 Place",""
"repo-venice-marciana","Venice, Biblioteca Marciana","45.434","12.3397","repository_place","E53 Place",""
"repo-paris-bnf","Paris, Bibliothèque nationale de France","48.8336","2.3758","repository_place","E53 Place",""
"repo-london-british-library","London, British Library","51.5299","-0.1275","repository_place","E53 Place",""
"repo-berlin-staatsbibliothek","Berlin, Staatsbibliothek","52.506","13.3702","repository_place","E53 Place",""
"repo-dresden-slub","Dresden, SLUB","51.0289","13.7368","repository_place","E53 Place",""
"repo-engelberg-abbey","Engelberg Abbey Library","46.8211","8.4086","repository_place","E53 Place",""
"repo-vitry-bm","Vitry-le-François, Bibliothèque municipale","48.7247","4.5844","repository_place","E53 Place",""
